Регион	Населённый пункт	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Иностранных государствах и временно используемых на территории Российской Федерации	694	2058	2746	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Адыгея	прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай	Горно-Алтайск	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан	Благовещенск (Республика Башкортостан)	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Октябрьский	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Ишимбай	1407	2058	4941	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Кумертау	1407	2058	4941	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Салават	1407	2058	4941	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Стерлитамак	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Туймазы	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Уфа	1407	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Бурятия	Улан-Удэ	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Бурятия	прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	Буйнакск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	Дербент	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	Каспийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	Махачкала	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	Хасавюрт	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
