Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Временного использования на территории Российской Федерации транспортных средств зарегистрированных в иностранных государствах	694	2058	3432	7399	2807	4227	2246	2807	7399	4044	2521	899
Для ТС, следующих к месту регистрации ТС, а также к месту проведения техомотра ТС, повторного техосмотра ТС	694	2058	3432	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Адыгея	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Алтай												
Горно-Алтайск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан												
Благовещенск, Октябрьский	694	2058	4926	7399	2807	4227	2246	2807	7399	4044	2521	899
Ишимбай, Кумертау, Салават	694	2058	4926	7399	2807	4227	2246	2807	7399	4044	2521	899
Стерлитамак, Туймазы	694	2058	4926	7399	2807	4227	2246	2807	7399	4044	2521	899
Уфа	694	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Бурятия												
Улан-Удэ	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Дагестан												
Буйнакск, Дербент, Каспийск, Махачкала, Хасавюрт	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Ингушетия												
Малгобек	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Назрань	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кабардино-Балкарская Республика												
Нальчик, Прохладный	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Калмыкия												
Элиста	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4937	7399	2807	4227	2246	2807	7399	4044	2521	899
Карачаево-Черкесская Республика	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Карелия												
Петрозаводск	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Коми												
Сыктывкар	694	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Ухта	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	3875	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Крым												
Симферополь	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Марий Эл												
Волжск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Йошкар-Ола	694	2058	4500	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Мордовия												
Рузаевка	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Саранск	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
