Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Временного использования на территории Российской Федерации транспортных средств зарегистрированных в иностранных государствах	1407	2058	2746	7399	2807	4227	2246	2807	7399	4044	2521	1124
Для ТС, следующих к месту регистрации ТС, а также к месту проведения техомотра ТС, повторного техосмотра ТС	1407	2058	2746	7399	2807	4227	2246	2807	7399	4044	2521	1124
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай												
Горно-Алтайск	1407	2058	4942	7399	5053	4227	2246	2807	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4400	7399	5053	4227	2246	2807	7399	4044	2521	1895
Республика Башкортостан												
Благовещенск	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Октябрьский	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Ишимбай	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Кумертау	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Салават	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Стерлитамак	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Туймазы	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Уфа	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4400	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Бурятия												
Улан-Удэ	1407	2911	4942	7399	5053	7609	2246	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	2246	5053	7399	4044	2521	1895
Республика Дагестан												
Буйнакск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Дербент	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Каспийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Махачкала	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хасавюрт	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия												
Малгобек	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Назрань	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Кабардино-Балкарская Республика												
Нальчик	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Прохладный	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Республика Калмыкия												
Элиста	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Карачаево-Черкесская Республика	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	899
Республика Карелия												
Петрозаводск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Коми												
Сыктывкар	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Ухта	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Крым												
Симферополь	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Марий Эл												
Волжск	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Йошкар-Ола	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Мордовия												
Рузаевка	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Саранск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Саха (Якутия)												
Нерюнгри	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Якутск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Северная Осетия - Алания												
Владикавказ	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Татарстан												
Альметьевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Зеленодольск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижнекамск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Бугульма	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Лениногорск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чистополь	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Елабуга	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Казань	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Набережные Челны	1407	2058	3706	7399	5053	5284	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Тыва												
Кызыл	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Удмуртская Республика												
Воткинск	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Глазов	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Сарапул	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Ижевск	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4700	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Хакасия												
Абакан	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Саяногорск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Черногорск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Чеченская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чувашская Республика												
Канаш	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Новочебоксарск	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Чебоксары	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	4044	5053	7399	4044	2521	1895
Алтайский край												
Барнаул	1407	2058	4400	7399	5053	4227	2246	2807	7399	4044	2521	1895
Бийск	1407	2058	4703	7399	5053	4227	2246	2807	7399	4044	2521	1895
Заринск	1407	2058	4703	7399	5053	4227	2246	2807	7399	4044	2521	1895
Новоалтайск	1407	2058	4703	7399	5053	4227	2246	2807	7399	4044	2521	1895
Рубцовск	1407	2058	4703	7399	5053	4227	2246	2807	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2058	4400	7399	5053	4227	2246	2807	7399	4044	2521	1895
Забайкальский край												
Краснокаменск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Чита	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Камчатский край												
Петропавловск-Камчатский	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край												
Анапа	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Геленджик	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Армавир	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Сочи	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Туапсе	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Белореченск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Ейск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Кропоткин	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Крымск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Кургаминск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Лабинск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Славянск-на-Кубани	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Тимашевск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Тихорецк	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Краснодар	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Новороссийск	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	3509	5284	4044	5053	7399	4044	2521	899
Красноярский край												
Ачинск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Зеленогорск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Железногорск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Норильск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Канск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Лесосибирск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Минусинск	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Назарово	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Красноярск	1407	2058	4350	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Пермский край												
