Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Транспортные средства, зарегистрированные в иностранных государствах и временно используемые на территории Российской Федерации	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Транспортные средства, следующие к месту регистрации, а также к месту проведения технического осмотра транспортного средства, повторного осмотра транспотрного средства	1407	2911	4942	7399	2807	4227	4044	5053	7399	4044	2521	1895
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Бурятия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кабардино-Балкарская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Калмыкия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Карачаево-Черкесская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Карелия	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Коми	1407	2058	3700	7399	5053	4227	4044	5053	7399	4044	2521	1895
Республика Крым	1407	2058	4595	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Марий Эл	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Мордовия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Саха (Якутия)	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Северная Осетия - Алания	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Татарстан												
Альметьевск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Бугульма	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Елабуга	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Зеленодольск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Казань	1407	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Лениногорск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Набережные Челны	1407	2058	3706	7399	2807	4227	2246	2807	7399	4044	2521	899
Нижнекамск	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Чистополь	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Тыва	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Удмуртская Республика	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Хакасия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чеченская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чувашская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Алтайский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Забайкальский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Камчатский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Красноярский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пермский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
