Территория примущественного использования/Тип Транспортного Средства	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории "A", "M")	юридических лиц	физических лиц, индивидуальных предпринимателей	используемые в качестве такси	с разрешенной максимальной массой 16 тонн и менее	с разрешенной максимальной массой более 16 тонн	с числом пассажирских мест до 16 включительно	с числом пассажирских мест более 16	используемые на регулярных перевозках по маршруту регулярных перевозок	Троллейбусы (транспортные средства категории "Tb")	Трамваи (транспортные средства категории "Tm")	Тракторы, самоходные дорожно-строительные и иные машины <*>, за исключением транспортных средств, не имеющих колесных движителей
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Бурятия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кабардино-Балкарская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Калмыкия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Карачаево-Черкесская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Карелия	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Коми	1407	2058	3700	7399	5053	4227	4044	5053	7399	4044	2521	1895
Республика Крым	1407	2058	4300	7399	3370	5072	4044	5053	7399	4044	2521	899
Республика Марий Эл	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Мордовия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Саха (Якутия)	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Северная Осетия - Алания	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Татарстан	1407	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Тыва	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Удмуртская Республика	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Хакасия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чеченская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чувашская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Алтайский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Забайкальский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Камчатский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Краснодарский край	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Красноярский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пермский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Приморский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ставропольский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хабаровский край	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Амурская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Архангельская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Астраханская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Белгородская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Брянская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Владимирская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Волгоградская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Вологодская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Воронежская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ивановская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Иркутская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калининградская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Калужская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кемеровская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кировская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Костромская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курганская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Курская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ленинградская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Липецкая область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Магаданская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Московская область	1407	2058	3600	7399	5053	7609	4044	5053	7399	4044	2521	1895
Мурманская область	1407	2058	3900	7399	5053	7609	4044	5053	7399	4044	2521	1895
Нижегородская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новгородская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Новосибирская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Омская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Оренбургская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Орловская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Пензенская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Псковская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ростовская область	1407	2911	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Рязанская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Самарская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Саратовская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Сахалинская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Свердловская область	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Смоленская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тамбовская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тверская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Томская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тульская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Тюменская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ульяновская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Челябинская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ярославская область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Москва	1407	2058	3500	7399	5053	7609	4044	5053	7399	4044	2521	1895
Санкт-Петербург	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1895
Севастополь	1407	2058	4400	7399	3370	5072	4044	5053	7399	4044	2521	899
Еврейская автономная область	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ненецкий автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ханты-Мансийский автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Чукотский автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Ямало-Ненецкий автономный округ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Байконур	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Транспортные средства, зарегистрированные в иностранных государствах и временно используемые на территории Российской Федерации	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Транспортные средства, следующие к месту регистрации, а также к месту проведения технического осмотра транспортного средства, повторного осмотра транспотрного средства	1407	2911	4942	7399	2807	4227	4044	5053	7399	4044	2521	1895
