Территория примущественного использования транспортного средства	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М»)	юридических лиц	физических лиц, индивидуальных предпринимателей	используемые в качестве такси	с разрешенной максимальной массой 16 тонн и менее	с разрешенной максимальной массой более 16 тонн	с числом пассажирских мест до 16 включительно	с числом пассажирских мест более 16	используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не _ааппашаиипм ппарылаллы л пппмгипгп л рымгдиыо_	Троллейбусы (транспортные средства категории «Tb»)	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай												
Горно-Алтайск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан												
Благовещенск, Октябрьский	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Ишимбай, Кумертау, Салават	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Стерлитамак, Туймазы	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Уфа	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Прочие города и населенные пункты	1407	2058	4118	7399	5053	7609	4044	5053	7399	4044	2521	1500
Республика Бурятия												
Улан-Удэ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан												
Буйнакск, Дербент, Каспийск, Махачкала, Хасавюрт	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	
Малгобек	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Назрань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кабардино-Балкарская Республика												
Нальчик, Прохладный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Калмыкия												
Элиста	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Карачаево-Черкесская Республика	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Карелия												
Петрозаводск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
