Территория преимущественного использования ТС	Категория «А», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Такси	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Республика Адыгея	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Алтай												
Горно-Алтайск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Башкортостан												
Благовещенск	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Ишимбай	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Кумертау	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Октябрьский	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Салават	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Стерлитамак	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Туймазы	1407	2573	4350	7399	5053	6975	4044	5053	7399	4044	2521	1124
Уфа	1407	2573	4118	7399	5053	6975	4044	5053	7399	4044	2521	1124
Прочие города и населенные пункты	1407	2573	4529	7399	5053	6975	4044	5053	7399	4044	2521	1124
Республика Бурятия												
Улан-Удэ	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Дагестан												
Буйнакск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Дербент	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Каспийск	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Махачкала	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Хасавюрт	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Ингушетия												
Малгобек	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Назрань	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Кабардино-Балкарская Республика												
Нальчик	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прохладный	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Прочие города и населенные пункты	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
Республика Калмыкия												
Элиста	1407	2911	4942	7399	5053	7609	4044	5053	7399	4044	2521	1895
