Субъект РФ	Населенный пункт	Мотоциклы, мопеды и легкие квадрициклы (транспортные средства категории «A», «М») 	Транспортные средства категории «B», «BE» юридических лиц 	Транспортные средства категории «B», «BE» физических лиц, индивидуальных предпринимателей 	Транспортные средства категории «B», «BE» используемые в качестве такси 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой 16 тонн и менее 	Транспортные средства категорий «C» и «CE» с разрешенной максимальной массой более 16 тонн 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест до 16 включительно 	Транспортные средства категорий «D» и «DE» с числом пассажирских мест более 16 	Транспортные средства категорий «D» и «DE» используемые на регулярных перевозках с посадкой и высадкой пассажиров как в установленных остановочных пунктах по маршруту регулярных перевозок, так и в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок 	Троллейбусы (транспортные средства категории «Tb») 	Трамваи (транспортные средства категории «Tm»)	Тракторы, самоходные дорожно-строительные и иные машины*, за исключением транспортных средств, не имеющих колесных движителей 
Республика Адыгея	Все города и населенные пункты	694	2058	4788	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Алтай	Горно-Алтайск	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4794	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Башкортостан	Благовещенск	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Октябрьский	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
	Ишимбай	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Кумертау	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Салават	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Стерлитамак	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Туймазы	694	2058	4171	7399	2807	4227	2246	2807	7399	4044	2521	899
	Уфа	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	3995	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Бурятия	Улан-Удэ	694	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4318	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Дагестан	Буйнакск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Дербент	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Каспийск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Махачкала	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Хасавюрт	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Республика Ингушетия	Малгобек	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Назрань	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
	Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Кабардино-Балкарская Республика	Нальчик	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
